№ п/п	код дороги	Идентификационный номер	Значение дороги	Наименование района	Наименование автомобильной дороги	Категория автомо-бильной дороги	Адрес начала участка, км	Адрес конца участка, км	общая	асфальто-бетон	бетон и железо- бетон	щебень	грунт
25.		73 244 ОП МЗ Н-024	Межмуниципальное	Сурский	«Шатрашаны-Атяшкино»		0	5.8463	5.8463				5.8463
26.		73 244 ОП МЗ Н-025	Межмуниципальное	Сурский	Шатрашаны ­– граница области		0	1.691	1.691	1.691			
27.		73 244 ОП МЗ Н-026	Межмуниципальное	Сурский	с. Астрадамовка –д. Лебедевка		0	2	2	2			
28.		73 244 ОП МЗ Н-027	Межмуниципальное	Сурский	д. Лебедевка – с. Утесовка		0	3.4	3.4				3.4
29.		73 244 ОП МЗ Н-028	Межмуниципальное	Сурский	«Княжуха – Араповка» – с. Ольховка		0	1.9	1.9	1			0.9
Итого по Сурскому району									218.8273	184.167	0	24.514	10.1463
1.	4001427	73 ОП РЗ К-1427	Региональное	Тереньгульский	 Солдатская Ташла-Кузоватово-Новоспасское-Радищево-Старая Кулатка-граница области	III	0	10.4	10.4	10.4			
2.	4001441	73 ОП РЗ К-1441	Региональное	Тереньгульский	 Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино	III	82.67	94.736	12.066	12.066			
3.	9731801	73 248 ОП МЗ Н-001	Межмуниципальное	Тереньгульский	 Тереньга-Языково	IV	0	8.63	8.63	7.35		1.28	
4.	9731802	73 248 ОП МЗ Н-002	Межмуниципальное	Тереньгульский	 Тереньга-Гладчиха-Сосновка	"IV 
"	0	17.948	17.948	12.068		5.88	
5.	9731803	73 248 ОП МЗ Н-003	Межмуниципальное	Тереньгульский	 Гавриловка-Белогорск-Большая Борла	IV	0	23.272	23.272	23.272			
6.	9731804	73 248 ОП МЗ Н-004	Межмуниципальное	Тереньгульский	 Елшанка-Алешкино-Большая Борла	IV 	0	13.4	13.4	9.2		4.2	
7.	9731805	73 248 ОП МЗ Н-005	Межмуниципальное	Тереньгульский	 Тереньга-Старая Ерыкла	IV	0	32.803	32.803	32.803			
8.	9731806	73 248 ОП МЗ Н-006	Межмуниципальное	Тереньгульский	 Ясашная Ташла-силикатный завод	IV	0	6.1	6.1	1			5.1
9.	9731807	73 248 ОП МЗ Н-007	Межмуниципальное	Тереньгульский	"Подъезд к городу Ульяновску от автомобильной дороги        М-5 ""Урал""-Солдатская Ташла"	IV	0	1.635	1.635	1.635			
10.	9731808	73 248 ОП МЗ Н-008	Межмуниципальное	Тереньгульский	"Подъезд к городу Ульяновску от автомобильной дороги         М-5 ""Урал""-Подкуровка"	IV	0	0.984	0.984	0.984			
11.	9731809	73 248 ОП МЗ Н-009	Межмуниципальное	Тереньгульский	"Подъезд к городу Ульяновску от автомобильной дороги           М-5 ""Урал""-Ясашная Ташла"	IV	0	1.022	1.022	1.022			
12.	9731810	73 248 ОП МЗ Н-010	Межмуниципальное	Тереньгульский	" Подъезд к городу Ульяновску от автомобильной дороги                М-5 ""Урал""-Федькино"	IV	0	2.5	2.5	2.5			
13.	9731811	73 248 ОП МЗ Н-011	Межмуниципальное	Тереньгульский	 Красноборск-Зеленец	IV	0	6.9	6.9	6.9			
14.	9731812	73 248 ОП МЗ Н-012	Межмуниципальное	Тереньгульский	 Михайловка-Калиновка	IV	0	3.8	3.8	3.8			
15.	9731813	73 248 ОП МЗ Н-013	Межмуниципальное	Тереньгульский	 Ясашная Ташла-Риновка	IV	0	12.57	12.57	6.57		6	
16.	9731814	73 248 ОП МЗ Н-014	Межмуниципальное	Тереньгульский	 Подъезд к Молвинской нефтебазе	IV	0	0.8	0.8	0.8			
17.	9731815	73 248 ОП МЗ Н-015	Межмуниципальное	Тереньгульский	 Красноборск-Новая Ерыкла	IV	0	5.84	5.84	0.84		5	
18.	9731816	73 248 ОП МЗ Н-016	Межмуниципальное	Тереньгульский	 Скугареевка-Подкуровка	IV	0	2.849	2.849	2.849			
19.	9731817	73 248 ОП МЗ Н-017	Межмуниципальное	Тереньгульский	 Подкуровка-Ясашная Ташла	IV	0	3.299	3.299	3.299			
20.	9731819	73 248 ОП МЗ Н-018	Межмуниципальное	Тереньгульский	 Михайловка-Скрипино	V	0	2.5	2.5	2.5			
21.	9731820	73 248 ОП МЗ Н-019	Межмуниципальное	Тереньгульский	 Подкуровка-Суровка	IV	0	11.7	11.7	11.7			
22.	9731914	73 252 ОП МЗ Н-010	Межмуниципальное	Тереньгульский	"Подъезд к городу Ульяновску от автомобильной дороги           М-5 ""Урал""-Елшанка"	IV	1	4.92	3.92	3.92			
22.		73 248 ОП МЗ Н-020	Межмуниципальное	Тереньгульский	«Подкуровка –Ясашная Ташла» – «Ясашня Ташла – силикатный завод»		0	4	4	4			
Итого по Тереньгульскому району									188.938	161.478	0	22.36	5.1
1.	4000151	73 ОП РЗ К-0151	Региональное	Ульяновский	"Подъезд к городу Ульяновску от автомобильной дороги              М-5 ""Урал""-Новоульяновск"	II	0	8	8	8			
2.	4001435	73 ОП РЗ К-1435	Региональное	Ульяновский	" ""Казань-Буинск-Ульяновск""-Ишеевка-Ундоры-граница области"	III	0	36	36	36			
3.	4001435	73 ОП РЗ К-1435	Региональное	Ульяновский	" Подъезд к санаторию им. Ленина от автомобильной дороги ""Казань-Буинск-Ульяновск""-Ишеевка-Ундоры-граница области"	III	0	3.11	3.11	3.11			
4.	4001441	73 ОП РЗ К-1441	Региональное	Ульяновский	 Большие Ключищи-Сенгилей-Елаур-Молвино-Байдулино	"II (0-7,159)
III (7,159-10,405)"	0	10.405	10.405	10.405			
5.	9731412	73 252 ОП МЗ Н-001	Межмуниципальное	Ульяновский	 Потапиха-Криуши	IV	3.9	7.842	3.942	3.942			
6.	9731901	73 252 ОП МЗ Н-002	Межмуниципальное	Ульяновский	" ""Цивильск-Ульяновск""-рзд. Лаишевский-""Казань-Буинск-Ульяновск"""	IV	0	2.749	2.749	2.749			
7.	9731903	73 252 ОП МЗ Н-003	Межмуниципальное	Ульяновский	" ""Казань-Буинск-Ульяновск-Ишеевка-Ундоры-граница области""-Вышки"	IV	0	1	1	1			
8.	9731904	73 252 ОП МЗ Н-004	Межмуниципальное	Ульяновский	" ""Казань-Буинск-Ульяновск-Ишеевка-Ундоры-граница области""-Комаровка"	IV	0	2.5	2.5	2.5			
9.	9731905	73 252 ОП МЗ Н-005	Межмуниципальное	Ульяновский	" ""Казань-Буинск-Ульяновск-Ишеевка-Ундоры-граница области""-санаторий ""Дубки"""	IV	0	4.097	4.097	4.097			
10.	9731906	73 252 ОП МЗ Н-006	Межмуниципальное	Ульяновский	" ""Казань-Буинск-Ульяновск-Ишеевка-Ундоры-граница области""-Крутояр"	IV	0	0.6	0.6	0.6			
11.	9731907	73 252 ОП МЗ Н-007	Межмуниципальное	Ульяновский	" ""Казань-Буинск-Ульяновск-Ишеевка-Ундоры-граница области""-Русская Беденьга"	IV	0	4	4	4			
12.	9731909	73 252 ОП МЗ Н-008	Межмуниципальное	Ульяновский	" ""Казань-Буинск-Ульяновск-Ишеевка-Ундоры-граница области""-Полдомасово-Максимовка"	IV	0	5.904	5.904	5.904			
13.	9731913	73 252 ОП МЗ Н-009	Межмуниципальное	Ульяновский	"Подъезд к городу Ульяновску от автомобильной дороги              М-5 ""Урал""-Большие Ключищи"	IV	0	2	2	2			
14.	9731914	73 252 ОП МЗ Н-010	Межмуниципальное	Ульяновский	"Подъезд к городу Ульяновску от автомобильной дороги           М-5 ""Урал""-Елшанка"	IV	0	8.52	4.6	4.6			
15.	9731915	73 252 ОП МЗ Н-011	Межмуниципальное	Ульяновский	"""Цивильск-Ульяновск""-Ульяновский научно-исследовательский институт сельского хозяйства"	IV	0	1.272	1.272	1.272			
16.	9731916	73 252 ОП МЗ Н-012	Межмуниципальное	Ульяновский	" ""Цивильск-Ульяновск""-Новый Урень"	IV	0	2	2	2			
17.	9731917	73 252 ОП МЗ Н-013	Межмуниципальное	Ульяновский	" ""Цивильск-Ульяновск""-Михайловка"	IV	0	5.4	5.4	5.4			
18.	9731920	73 252 ОП МЗ Н-014	Межмуниципальное	Ульяновский	" ""Саранск-Сурское-Ульяновск""-Елизаветино"	IV	0	3.4	3.4	3.4			
19.	9731922	73 252 ОП МЗ Н-015	Межмуниципальное	Ульяновский	 Ишеевка-Сланцевый Рудник	IV	0	5.847	5.847	5.847			
20.	9731923	73 252 ОП МЗ Н-016	Межмуниципальное	Ульяновский	 Новоульяновск-Липки	IV	0	4.9	4.9	4.9			
21.	9731924	73 252 ОП МЗ Н-017	Межмуниципальное	Ульяновский	 Полдомасово-Салмановка	IV	0	0.7	0.7	0.7			
22.	9731925	73 252 ОП МЗ Н-018	Межмуниципальное	Ульяновский	" ""Саранск-Сурское-Ульяновск""-Зелёная Роща"	III	0	17.379	17.379	17.379			
23.	9731926	73 252 ОП МЗ Н-019	Межмуниципальное	Ульяновский	" ""Саранск-Сурское-Ульяновск""-Тетюшское-Загудаевка"	IV	0	9.737	9.737	2.187		7.55	
24.	9731927	73 252 ОП МЗ Н-020	Межмуниципальное	Ульяновский	 Станция Охотничья-Бухтеевка	IV	0	3.9	3.9	2.1		1.8	
25.	9731928	73 252 ОП МЗ Н-021	Межмуниципальное	Ульяновский	 Станция Охотничья-Ивановский детский дом	IV	0	1.825	1.825	1.825			
26.	9731930	73 252 ОП МЗ Н-022	Межмуниципальное	Ульяновский	" ""Цивильск-Ульяновск""-Бирючевка-Загудаевка"	IV	0	18.757	18.757	18.757			
27.	9731932	73 252 ОП МЗ Н-023	Межмуниципальное	Ульяновский	 Тетюшское-Волостниковка	IV	0	10.1	10.1	10.1			
28.	9731933	73 252 ОП МЗ Н-024	Межмуниципальное	Ульяновский	" ""Саранск-Сурское-Ульяновск""- п. им. М.Горького"	IV	0	0.9	0.9	0.9			
29.	9731934	73 252 ОП МЗ Н-025	Межмуниципальное	Ульяновский	 Подъезд к п. Дубровка	IV	0	1.9	1.9	1.9			
30.	9731936	73 252 ОП МЗ Н-026	Межмуниципальное	Ульяновский	 Подъезд к с.Ломы	IV	0	1.73	1.73	1.73			
31.	9731938	73 252 ОП МЗ Н-027	Межмуниципальное	Ульяновский	 Подъезд к с.Елшанка	IV	0	1.5	1.5	1.5			
32.	9732007	73 254 ОП МЗ Н-008	Межмуниципальное	Ульяновский	 Цильна-Красное Сюндюково	V	2.7	5.4	2.7				2.7
33.	9731939	73 252 ОП МЗ Н-028	Межмуниципальное	Ульяновский	"""Саранск-Сурское-Ульяновск""-Арское"	IV	0	0.967	0.967	0.967			
34.		73 252 ОП МЗ Н-029	Межмуниципальное	Ульяновский	р.п. Ишеевка-д. Салмановка		0	3.458	3.458	3.458			
Итого по Ульяновскому району									187.279	175.229	0	9.35	2.7
1.	4001429	73 ОП РЗ К-1429	Региональное	Цильнинский	 Цильна-Большое Нагаткино-Новоникулино-Тагай-Майна-Игнатовка-Чертановка	"III (0-17,0)
IV (17,0-58,5)"	0	58.5	56.233	56.233			
2.	9732025	73 254 ОП МЗ Н-001	Межмуниципальное	Цильнинский	 Подъезд к с.Норовка	IV	0	1.8	1.8	1.8			
3.	9730711	73 220 ОП МЗ Н-011	Межмуниципальное	Цильнинский	 Старое Никулино-Новые Маклауши-Чирикеево	IV	0	3.9	3.9	3.9			
4.	9732001	73 254 ОП МЗ Н-002	Межмуниципальное	Цильнинский	 Репьевка-Русская Цильна	IV	0	21.43	21.43	21.43			
5.	9732002	73 254 ОП МЗ Н-003	Межмуниципальное	Цильнинский	" ""Казань-Буинск-Ульяновск""-Кундюковка"	IV	0	2.2	2.2	2.2			
6.	9732003	73 254 ОП МЗ Н-004	Межмуниципальное	Цильнинский	" ""Казань-Буинск-Ульяновск""-Елховое Озеро"	IV	0	4.51	4.51	4.51			
7.	9732004	73 254 ОП МЗ Н-005	Межмуниципальное	Цильнинский	" ""Казань-Буинск-Ульяновск""-Цильнинская нефтебаза"	IV	0	1.2	1.2	1.2			
8.	9732005	73 254 ОП МЗ Н-006	Межмуниципальное	Цильнинский	" ""Казань-Буинск-Ульяновск""-Телешовка"	IV	0	0.8	0.8	0.8			
9.	9732006	73 254 ОП МЗ Н-007	Межмуниципальное	Цильнинский	" ""Казань-Буинск-Ульяновск""-Арбузовка"	IV	0	3.6	3.6	3.6			
10.	9732007	73 254 ОП МЗ Н-008	Межмуниципальное	Цильнинский	 Цильна-Красное Сюндюково	IV	0	2.7	2.7				2.7
11.	9732007	74 254 ОП МЗ Н-009	Межмуниципальное	Цильнинский	Мокрая Бугурна – Новое Ирикеево	IV	0	2.5	2.5	2.165			0.335
12.	9732009	73 254 ОП МЗ Н-010	Межмуниципальное	Цильнинский	 Большое Нагаткино-Норовка	IV	0	3.2	3.2	3.2			
13.	9732010	73 254 ОП МЗ Н-011	Межмуниципальное	Цильнинский	" ""Цивильск-Ульяновск""-Новые Алгаши"	IV	0	0.6	0.6	0.6			
14.	9732011	73 254 ОП МЗ Н-012	Межмуниципальное	Цильнинский	" ""Цивильск-Ульяновск""-Средние Алгаши"	IV	0	0.9	0.9	0.9			
15.	9732012	73 254 ОП МЗ Н-013	Межмуниципальное	Цильнинский	" ""Цивильск-Ульяновск""-Богдашкино"	IV	0	9.325	9.325	9.325			
16.	9732013	73 254 ОП МЗ Н-014	Межмуниципальное	Цильнинский	" ""Цивильск-Ульяновск""-Крестниково"	IV	0	1.4	1.4	1.4			
17.	9732014	73 254 ОП МЗ Н-015	Межмуниципальное	Цильнинский	" ""Цивильск-Ульяновск""-Верхние Тимерсяны"	IV	0	18.655	18.655	18.655			
18.	9732015	73 254 ОП МЗ Н-016	Межмуниципальное	Цильнинский	" ""Цивильск-Ульяновск""-Малое Нагаткино-Новая Воля"	IV	0	9.3	9.3	9.3			
19.	9732016	73 254 ОП МЗ Н-017	Межмуниципальное	Цильнинский	 Большое Нагаткино-Солнце	"IV (0-8,0)
V (8,0-8,6)"	0	8.6	8.6	8.6			
20.	9732017	73 254 ОП МЗ Н-018	Межмуниципальное	Цильнинский	 Мокрая Бугурна-Малая Цильна	V	0	4	4	4			
21.	9732018	73 254 ОП МЗ Н-019	Межмуниципальное	Цильнинский	" ""Цильна-Большое Нагаткино-Новое Никулино-Тагай-Майна-Игнатовка-Чертановка""-райтоп"	IV	0	1.3	1.3	1.3			
22.	9732019	73 254 ОП МЗ Н-020	Межмуниципальное	Цильнинский	" ""Цильна-Большое Нагаткино-Новое Никулино-Тагай-Майна-Игнатовка-Чертановка""-Пилюгино"	IV	0	1	1	1			
23.	9732020	73 254 ОП МЗ Н-021	Межмуниципальное	Цильнинский	" ""Цильна-Большое Нагаткино-Новое Никулино-Тагай-Майна-Игнатовка-Чертановка""-Степное Анненково"	IV	0	2.67	2.67	2.67			
24.	9732021	73 254 ОП МЗ Н-022	Межмуниципальное	Цильнинский	 Новое Никулино-Чириково	"IV (0-5,0)
V (5,0-6,3)"	0	6.3	6.3	3		3	0.3
25.	9732022	73 254 ОП МЗ Н-023	Межмуниципальное	Цильнинский	 Карабаевка-Погребы 	IV	0	1.9	1.9	1.9			
26.	9732023	73 254 ОП МЗ Н-024	Межмуниципальное	Цильнинский	 Беленки-Тимофеевка	V	0	2	2	2			
27.	9732022	73 254 ОП МЗ Н-025	Межмуниципальное	Цильнинский	"""Казань-Буинск-Ульяновск""-Телешовка""-Арбузовский"	IV	0	1.75	1.75	1.75			
28.	9732023	73 254 ОП МЗ Н-026	Межмуниципальное	Цильнинский	Подъезд к с. Арбузовка	IV	0	2.66	2.66	2.66			
29.	9732024	73 254 ОП МЗ Н-027	Межмуниципальное	Цильнинский	Подъезд к с. Старые Алгаши	IV	0	2.345	2.345	2.345			
30.		73 254 ОП МЗ Н-028	Межмуниципальное	Цильнинский	Подъезд к д. Садки		0	1.963	1.963	1.963			
31.		73 254 ОП МЗ Н-029	Межмуниципальное	Цильнинский	«Цивильск –Ульяновск» – Новая Воля		0	0.903	0.903	0.903			
Итого по Цильнинскому району									181.644	175.309	0	3	3.335
													
2.	4001428	73 ОП РЗ К-1428	Региональное	Чердаклинский	" ""Ульяновск-Димитровград-Самара""-Старая Майна-Матвеевка-граница области"	IV	0	11.6	11.6	11.6			
3.	9732101	73 256 ОП МЗ Н-001	Межмуниципальное	Чердаклинский	 Бряндино-Еремкино	IV	0	12.04	6.14	6.14			
4.	9732102	73 256 ОП МЗ Н-002	Межмуниципальное	Чердаклинский	 Мирный-Архангельское	IV	0	9.68	9.68	9.68			
5.	9732103	73 256 ОП МЗ Н-003	Межмуниципальное	Чердаклинский	 Ульяновск-Красный Яр	IV	3.32	13.827	10.507	10.507			
6.	9732104	73 256 ОП МЗ Н-004	Межмуниципальное	Чердаклинский	 Чердаклы-Новый Белый Яр-Вислая Дубрава	IV	0	56.65	56.65	56.65			
7.	9732105	73 256 ОП МЗ Н-005	Межмуниципальное	Чердаклинский	 Чердаклы-Бряндино	IV	0	33.444	30.744	30.744			
8.	9732106	73 256 ОП МЗ Н-006	Межмуниципальное	Чердаклинский	 Новый Белый Яр-Старый Белый Яр-дом отдыха                                   им. Воровского	IV	0	8.697	8.697	8.697			
9.	9732107	73 256 ОП МЗ Н-007	Межмуниципальное	Чердаклинский	 Ульяновск-Архангельское	II	0.5	5.035	4.535	4.535			
10.	9732108	73 256 ОП МЗ Н-008	Межмуниципальное	Чердаклинский	 Первомайский-Крестово-Городище-Белорыбка	IV	0	27.5	27.5	16.3		11.2	
11.	9732109	73 256 ОП МЗ Н-009	Межмуниципальное	Чердаклинский	"""Чердаклы-Новый Белый Яр-Вислые Дубравы""-ДРСУ"	IV	0	0.3	0.3	0.3			
12.	9732110	73 256 ОП МЗ Н-010	Межмуниципальное	Чердаклинский	" ""Чердаклы-Новый Белый Яр-Вислые Дубравы""-жилой поселок  ДРСУ"	IV	0	0.5	0.5	0.5			
13.	9732111	73 256 ОП МЗ Н-011	Межмуниципальное	Чердаклинский	" ""Чердаклы-Новый Белый Яр-Вислые Дубравы""-Чувашский Калмаюр"	IV	0	2	2	2			
14.	9732112	73 256 ОП МЗ Н-012	Межмуниципальное	Чердаклинский	" ""Чердаклы-Новый Белый Яр-Вислые Дубравы""-Суходол"	IV	0	0.7	0.7	0.7			
15.	9732113	73 256 ОП МЗ Н-013	Межмуниципальное	Чердаклинский	 Татарский Калмаюр-пристань Тургенево	IV	0	9.325	9.325	9.325			
16.	9732114	73 256 ОП МЗ Н-014	Межмуниципальное	Чердаклинский	 Мирный-Учхоз УГСХА	IV	0	19.713	19.713	19.713			
17.	9732115	73 256 ОП МЗ Н-015	Межмуниципальное	Чердаклинский	" ""Мирный-Учхоз УГСХА""-пос. УГСХА"	IV	0	1.5	1.5	1.5			
18.	9732116	73 256 ОП МЗ Н-016	Межмуниципальное	Чердаклинский	 Бряндино-Абдулово-Ертуганово	IV	0	10.16	10.16	10.16			
19.	9732118	73 256 ОП МЗ Н-017	Межмуниципальное	Чердаклинский	" ""Чердаклы-Бряндино""-Петровское"	IV	0	2.6	2.6	2.6			
20.	9732119	73 256 ОП МЗ Н-018	Межмуниципальное	Чердаклинский	" ""Чердаклы-Бряндино""-Богдашкино"	IV	0	3.6	3.6	3.6			
21.	9732120	73 256 ОП МЗ Н-019	Межмуниципальное	Чердаклинский	 Абдулово-Асаново	"IV (0-1,4)
V (1,4-2,0)"	0	2	2	1.4		0.6	
22.	9732121	73 256 ОП МЗ Н-020	Межмуниципальное	Чердаклинский	 Поповка-Камышовка	IV	0	2	2	2			
23.	9732122	73 256 ОП МЗ Н-021	Межмуниципальное	Чердаклинский	" ""Ульяновск-Димитровград-Самара""-Лощина"	IV	0	1.5	1.5	1.5			
24.	9732123	73 256 ОП МЗ Н-022	Межмуниципальное	Чердаклинский	 Петровское-Войкино	IV	0	3.6	3.6	3.6			
25.	9732124	73 256 ОП МЗ Н-023	Межмуниципальное	Чердаклинский	 Подъезд к областной психотерапевтической больнице №1	IV	0	9.902	9.902	9.902			
26.	9732125	73 256 ОП МЗ Н-024	Межмуниципальное	Чердаклинский	" ""Мирный-Учхоз УГСХА""-кладбище"	IV	0	1.2	1.2	1.2			
27.	9732126	73 256 ОП МЗ Н-025	Межмуниципальное	Чердаклинский	"""Мирный-Архангельское""-подъезд к областной психотерапевтической больнице №1"	IV	0	10.121	10.121	10.121			
28.	9732127	73 256 ОП МЗ Н-026	Межмуниципальное	Чердаклинский	"""Ульяновск–Димитровград–Самара""-Большой Уренбаш"	IV	0	0.775	0.775	0.775			
29.		73 256 ОП МЗ Н-027	Межмуниципальное	Чердаклинский	Подъезд к СНТ «Полесье»		0	3.17	3.17	0.82			2.35
30.		73 256 ОП МЗ Н-028	Межмуниципальное	Чердаклинский	«Ульяновск –Димитровград – Самара» – р.п. Чердаклы		0	7.11	7.11	7.11			
Итого по Чердаклинскому району									257.829	243.679	0	11.8	2.35
1.		73 415 ОП МЗ Н-01	Межмуниципальное	город Новоульяновск	п.Липки – с. Панская Слобода		0	6.431	6.431	6.431			
2.		73 415 ОП МЗ Н-02	Межмуниципальное	город Новоульяновск	с. Криуши – с. Панская Слобода		0	4.091	4.091	4.091			
Итого по городу Новоульяновску									10.522	10.522			
													
2.		73 401 ОП МЗ Н-001	Межмуниципальное	город Ульяновск	с. Архангельское – СТО «Юрманки» – вдоль скважин 		0	8.145	8.145	8.145			
Итого по городу Ульяновску									8.145	8.145			
Всего									4608.2813	4136.0442	16.495	384.147	71.5951
